Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-February-2023,1011.10,1034.75,1011.10,1025.15,1027.331000169763767188,76577,4614,78669926.00,42811,55.91,23.65,14.05
15-February-2023,1019.20,1019.80,1004.40,1010.70,1011.785343621677722124,22161,1441,22422175.00,5752,25.96,15.40,-8.50
14-February-2023,1023.95,1023.95,1007.25,1009.80,1013.061074285714285714,21875,1591,22160711.00,5738,26.23,16.70,-14.15
13-February-2023,1021.00,1027.90,1009.05,1016.70,1018.982938634719878345,53923,3540,54946617.00,24234,44.94,18.85,-4.30
10-February-2023,1012.00,1027.90,1004.60,1020.80,1023.497090899250399155,73906,1861,75642576.00,47412,64.15,23.30,8.80
9-February-2023,1017.05,1035.00,1010.60,1012.50,1018.443070959405620760,46435,4626,47291404.00,20265,43.64,24.40,-4.55
8-February-2023,1033.95,1041.30,1011.40,1029.45,1026.547180437468207252,55044,3442,56505263.00,12201,22.17,29.90,-4.50
7-February-2023,1014.80,1039.90,1003.10,1030.85,1021.282680728594690801,105628,5558,107876047.00,18359,17.38,36.80,16.05
6-February-2023,970.00,1009.45,968.55,1006.45,993.411893409292629058,48447,3153,48127826.00,15421,31.83,40.90,36.45
3-February-2023,965.05,998.90,961.10,969.85,974.092294169352475827,61434,3446,59842386.00,7237,11.78,37.80,4.80
2-February-2023,941.00,986.50,912.25,967.00,951.570067337053282805,201078,12987,191339806.00,63807,31.73,74.25,26.00
1-February-2023,984.95,985.00,943.30,957.35,971.095909376966645689,31780,2838,30861428.00,8587,27.02,41.70,-27.60
31-January-2023,962.75,978.55,955.45,973.10,969.072378891081545610,15709,1509,15223158.00,4548,28.95,23.10,10.35
30-January-2023,934.05,960.80,934.05,955.10,951.404318855436453992,44873,3751,42692366.00,17404,38.78,26.75,21.05
27-January-2023,951.15,960.30,929.25,945.90,942.324993567031531442,50521,4846,47607201.00,16824,33.30,31.05,-5.25
25-January-2023,976.75,976.75,948.10,950.75,957.366802226872507600,25327,2127,24247229.00,6965,27.50,28.65,-26.00
24-January-2023,976.95,983.40,967.55,972.30,975.005898582437446484,10511,1144,10248287.00,3210,30.54,15.85,-4.65
23-January-2023,974.90,978.70,971.50,977.00,975.237079353744532714,11203,1282,10925581.00,3768,33.63,7.20,2.10
20-January-2023,980.05,987.10,973.35,975.75,980.898200171412246452,10501,1011,10300412.00,2984,28.42,13.75,-4.30
19-January-2023,999.35,999.35,978.10,980.00,987.450018258170531312,43816,3755,43266110.00,19273,43.99,21.25,-19.35
18-January-2023,992.00,1000.50,988.05,999.40,995.163219879396171435,24709,1739,24589488.00,8657,35.04,12.45,7.40
17-January-2023,976.00,988.85,970.95,986.60,983.218701315387951110,62263,4419,61218146.00,26108,41.93,17.90,10.60
16-January-2023,976.05,981.20,969.65,970.95,975.154829196362742688,12207,1235,11903715.00,2881,23.60,11.55,-5.10
13-January-2023,972.55,976.00,964.10,974.20,972.064459625153266771,22836,1313,22198064.00,5111,22.38,11.90,1.65
12-January-2023,969.00,978.45,969.00,972.55,973.353533397870280735,20660,1802,20109484.00,6076,29.41,9.45,3.55
11-January-2023,974.00,974.85,962.15,967.25,967.743529947101985097,17581,1487,17013899.00,4634,26.36,12.70,-6.75
10-January-2023,961.10,971.70,954.00,968.30,964.383318265791439015,25441,2185,24534876.00,9668,38.00,17.70,7.20
9-January-2023,950.00,960.75,948.00,958.20,956.291894659370900131,62502,3142,59770156.00,12072,19.31,12.75,8.20
6-January-2023,945.95,956.10,938.80,948.10,948.161831676940495659,39745,2585,37684692.00,8940,22.49,17.30,2.15
5-January-2023,940.70,945.70,926.25,942.10,933.279050906671102977,48088,4274,44879523.00,15985,33.24,19.45,1.40
4-January-2023,945.00,945.00,926.30,932.80,932.705420991926182237,21675,1605,20216390.00,6113,28.20,18.70,-12.20
3-January-2023,946.05,948.80,938.50,941.20,943.046805587359743531,21835,1392,20591427.00,11075,50.72,10.30,-4.85
2-January-2023,943.90,943.90,930.00,940.90,935.532665016374790510,130078,4552,121692218.00,27392,21.06,13.90,-3.00
30-December-2022,931.00,947.00,931.00,937.60,939.158312597983517194,69527,4826,65296860.00,18140,26.09,16.00,6.60
29-December-2022,932.00,933.60,922.00,929.00,927.688432157148053837,38486,3459,35703017.00,12209,31.72,11.60,-3.00
28-December-2022,924.75,939.10,915.35,933.20,929.702052015303164972,77631,5212,72173700.00,17942,23.11,23.75,8.45
27-December-2022,914.85,923.35,909.60,918.60,917.076687696415491127,84642,5298,77623205.00,25291,29.88,13.75,3.75
26-December-2022,892.00,916.00,877.90,907.60,906.030414115372220431,99296,6906,89965196.00,37268,37.53,38.10,15.60
23-December-2022,927.55,934.90,890.00,892.25,909.992260658263858706,202472,15012,184247953.00,79855,39.44,44.90,-35.30
22-December-2022,967.15,973.30,933.05,941.15,945.640206777713957495,139280,12016,131708768.00,66098,47.46,40.25,-26.00
21-December-2022,986.70,996.65,961.25,966.40,977.068657224071329656,41161,3160,40217123.00,12448,30.24,35.40,-20.30
20-December-2022,990.00,990.65,968.55,978.75,975.990064788961479031,73778,5929,72006595.00,25794,34.96,22.10,-11.25
19-December-2022,993.25,995.00,969.25,989.10,979.538367936725226252,118341,7970,115919550.00,35234,29.77,25.75,-4.15
16-December-2022,1022.05,1025.00,986.00,992.30,998.726243116969798097,143832,11938,143648793.00,61296,42.62,39.00,-29.75
15-December-2022,1037.90,1042.00,1022.15,1026.85,1032.123486234283464931,43187,3502,44574317.00,15950,36.93,19.85,-11.05
14-December-2022,1035.00,1044.75,1035.00,1036.55,1038.522744257884509989,20071,1297,20844190.00,10950,54.56,9.75,1.55
13-December-2022,1037.85,1045.00,1032.00,1033.60,1035.763145637731963817,40793,3173,42251886.00,19678,48.24,13.00,-4.25
12-December-2022,1035.00,1039.10,1025.35,1034.40,1031.891523754820710593,24374,1318,25151324.00,8047,33.01,13.75,-0.60
9-December-2022,1046.35,1056.55,1026.50,1033.35,1045.826137091607943625,31220,1774,32650692.00,15442,49.46,30.05,-13.00
8-December-2022,1034.95,1049.00,1026.30,1046.15,1037.330048266931265871,59461,4104,61680682.00,29104,48.95,22.70,11.20
7-December-2022,1040.00,1047.90,1021.90,1029.85,1031.224635464464158254,58842,4497,60679320.00,19971,33.94,26.00,-10.15
6-December-2022,1059.95,1060.20,1041.50,1043.45,1049.587821374558897664,47608,3672,49968777.00,14593,30.65,18.70,-16.50
5-December-2022,1039.40,1070.60,1039.40,1057.35,1060.307712563106090872,110132,7194,116773809.00,47174,42.83,31.20,17.95
2-December-2022,1054.95,1054.95,1031.20,1039.35,1039.152534096836124335,90111,5781,93639074.00,29736,33.00,23.75,-15.60
1-December-2022,1036.55,1059.00,1036.55,1048.80,1048.695430950300663000,77828,4370,81617868.00,36880,47.39,22.45,12.25
30-November-2022,1026.05,1042.75,1026.05,1036.25,1036.441505274759880333,50808,3883,52659520.00,29997,59.04,16.70,10.20
29-November-2022,1038.90,1044.70,1025.20,1028.85,1036.078689713525927716,49638,4012,51428874.00,19513,39.31,19.50,-10.05
28-November-2022,1027.65,1043.00,1027.65,1038.90,1036.669044381258499196,80890,4742,83856159.00,47752,59.03,15.35,11.25
25-November-2022,1020.05,1040.35,1020.05,1032.55,1032.526428571428571428,18200,1444,18791981.00,5213,28.64,20.30,12.50
