Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-March-2023,2503.05,2526.95,2494.00,2517.95,2510.699774044601630808,10179,1443,25556413.00,3892,38.24,32.95,14.90
22-March-2023,2516.05,2523.25,2494.95,2507.70,2508.723970714081962536,10517,1937,26384250.00,4670,44.40,28.30,-8.35
21-March-2023,2499.90,2520.60,2467.85,2514.00,2506.422683551559225492,55829,7270,139931072.00,34752,62.25,52.75,14.10
20-March-2023,2455.90,2474.90,2442.35,2461.15,2455.351825273010920436,32050,5172,78694026.00,15054,46.97,32.55,5.25
17-March-2023,2463.00,2473.75,2448.00,2455.90,2460.576405016256386437,32295,4561,79464315.00,15412,47.72,25.75,-7.10
16-March-2023,2414.05,2481.95,2412.85,2451.00,2456.073689442293606780,76456,7601,187781570.00,32045,41.91,69.10,36.95
15-March-2023,2383.95,2413.30,2382.10,2398.05,2399.011323982980256196,44419,5820,106561684.00,22507,50.67,31.20,14.10
14-March-2023,2335.05,2391.95,2328.45,2356.55,2357.963448498546980949,61940,6044,146052256.00,18450,29.79,63.50,21.50
13-March-2023,2374.00,2377.70,2320.00,2334.75,2345.589191643960036330,22020,3071,51649874.00,6807,30.91,57.70,-39.25
10-March-2023,2360.00,2380.20,2337.60,2375.35,2354.750616935768173165,28366,5441,66794856.00,11663,41.12,42.60,15.35
9-March-2023,2408.95,2408.95,2365.00,2369.55,2378.989369947957036872,9031,1903,21484653.00,5562,61.59,43.95,-39.40
8-March-2023,2401.95,2401.95,2372.00,2396.70,2384.858951811466760464,19901,3958,47461078.00,9719,48.84,29.95,-5.25
6-March-2023,2406.05,2425.95,2391.30,2404.15,2407.719360860970788491,36424,4883,87698770.00,18834,51.71,34.65,-1.90
3-March-2023,2361.05,2401.50,2358.80,2396.20,2386.615208344790921923,54549,4466,130187473.00,39315,72.07,42.70,35.15
2-March-2023,2375.10,2391.55,2352.00,2359.60,2365.238608579684374305,8998,1846,21282417.00,4807,53.42,39.55,-15.50
1-March-2023,2364.35,2396.20,2364.35,2382.20,2383.757227971150830981,15945,3326,38009009.00,7472,46.86,31.85,17.85
28-February-2023,2408.95,2424.65,2365.00,2374.20,2400.656797772636367201,25501,4458,61219149.00,10697,41.95,59.65,-34.75
27-February-2023,2392.10,2411.20,2374.00,2401.15,2391.633489148580968280,29950,4704,71629423.00,17680,59.03,37.20,9.05
24-February-2023,2395.05,2414.00,2378.00,2399.65,2390.880558123896780701,23794,3951,56888612.00,9530,40.05,36.00,4.60
23-February-2023,2426.00,2430.00,2380.00,2394.60,2402.437215383921727760,22179,2666,53283655.00,8440,38.05,50.00,-31.40
22-February-2023,2444.05,2462.80,2414.55,2424.45,2430.376612188014696566,39465,5321,95914813.00,23253,58.92,48.25,-19.60
21-February-2023,2475.10,2485.45,2450.95,2464.05,2463.134253127299484915,27180,3539,66947989.00,14838,54.59,34.50,-11.05
20-February-2023,2500.80,2507.00,2466.95,2474.50,2484.599651835958058378,24701,3645,61372096.00,9256,37.47,40.05,-26.30
17-February-2023,2519.95,2545.50,2496.40,2500.80,2514.401950496882908462,16201,1724,40735826.00,5397,33.31,49.10,-19.15
16-February-2023,2530.00,2545.50,2518.90,2522.10,2532.973162114417719798,14718,1600,37280299.00,4981,33.84,26.60,-7.90
15-February-2023,2506.90,2528.35,2484.55,2524.10,2515.484950066345415182,14319,1364,36019229.00,5875,41.03,43.80,17.20
14-February-2023,2527.90,2530.95,2481.00,2506.90,2500.382240586263350744,38481,5289,96217209.00,12290,31.94,49.95,-21.00
13-February-2023,2472.00,2524.00,2472.00,2519.45,2512.117848609170010369,44362,3507,111442572.00,13604,30.67,52.00,47.45
10-February-2023,2460.00,2472.20,2442.75,2468.30,2457.888615501088293744,10567,1195,25972509.00,4654,44.04,29.45,8.30
9-February-2023,2465.10,2475.75,2451.55,2462.15,2463.833243145743145743,11088,1514,27318983.00,4000,36.08,24.20,-2.95
8-February-2023,2450.00,2479.90,2447.25,2465.10,2468.209545639395171725,27049,3998,66762600.00,15936,58.92,32.65,15.10
7-February-2023,2452.05,2458.25,2433.00,2448.20,2444.267031728136575938,12418,1625,30352908.00,3683,29.66,25.25,-3.85
6-February-2023,2470.05,2479.45,2446.25,2457.85,2461.271141744081510338,50055,7006,123198927.00,24299,48.54,33.20,-12.20
3-February-2023,2315.05,2470.00,2315.05,2463.20,2426.473402208042135115,98730,8430,239565719.00,17779,18.01,154.95,148.15
2-February-2023,2345.95,2385.00,2268.90,2304.95,2334.914029683562027443,85704,11234,200111472.00,24459,28.54,116.10,-41.00
1-February-2023,2411.50,2411.50,2301.10,2347.15,2364.879977150267866792,64771,9591,153175641.00,20898,32.26,110.40,-64.35
31-January-2023,2350.00,2386.05,2336.10,2377.45,2366.646689383309948553,14967,1820,35421601.00,4610,30.80,49.95,27.45
30-January-2023,2329.00,2343.25,2286.95,2335.45,2327.995409087858245519,223485,8540,520272054.00,196412,87.89,56.30,6.45
27-January-2023,2360.00,2367.00,2303.00,2331.75,2325.198799373586218896,22988,3499,53451670.00,8419,36.62,64.00,-28.25
25-January-2023,2367.00,2368.75,2335.00,2356.45,2348.461834307915701895,25481,3104,59841156.00,11509,45.17,33.75,-10.55
24-January-2023,2370.00,2390.00,2364.00,2371.55,2385.580237390440743990,103711,4753,247410912.00,85745,82.68,26.00,1.55
23-January-2023,2380.00,2383.00,2356.00,2365.75,2366.985782718958936393,39037,5263,92400024.00,15285,39.16,27.00,-14.25
20-January-2023,2380.05,2397.25,2353.00,2371.90,2372.735400919923608682,37177,6328,88211184.00,13655,36.73,44.25,-8.15
19-January-2023,2400.00,2410.05,2368.75,2385.35,2389.115741481362981922,25004,2959,59737450.00,8567,34.26,41.30,-14.65
