Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
18-January-2023,3715.95,3715.95,3640.15,3650.35,3678.969535461207679728,16511,3446,60743466.00,7178,43.47,75.80,-65.60
17-January-2023,3687.95,3730.00,3675.00,3688.05,3702.484974036018119544,36204,8905,134044766.00,16351,45.16,55.00,0.10
16-January-2023,3699.00,3751.45,3627.00,3678.65,3687.553810369726634886,78247,13150,288540023.00,26744,34.18,124.45,-20.35
13-January-2023,3919.20,3928.70,3853.00,3862.20,3875.988138190085503879,20233,5712,78422868.00,13547,66.95,75.70,-57.00
12-January-2023,3890.00,3925.00,3864.70,3912.20,3897.410775440313111545,16352,4143,63730461.00,8250,50.45,60.30,22.20
11-January-2023,3896.90,3909.95,3860.00,3873.35,3883.416943982251802551,7212,1522,28007203.00,3550,49.22,49.95,-23.55
10-January-2023,3898.00,3922.75,3863.00,3875.45,3884.099969690846635683,19796,4832,76889643.00,11511,58.15,59.75,-22.55
9-January-2023,3909.00,3916.40,3855.60,3881.60,3892.269868693849343469,8682,1902,33792687.00,4122,47.48,60.80,-27.40
6-January-2023,3874.95,3930.00,3836.00,3842.20,3867.141922709754976487,28283,7722,109374375.00,14106,49.87,94.00,-32.75
5-January-2023,3965.95,3965.95,3846.90,3858.60,3882.161265316329082270,39990,12467,155247629.00,22647,56.63,119.05,-107.35
4-January-2023,4055.00,4055.00,3916.45,3926.85,3967.290352583072630421,23654,4986,93842286.00,12015,50.79,138.55,-128.15
3-January-2023,4060.00,4098.90,4045.05,4058.45,4074.277267279264882141,10012,2585,40791664.00,5842,58.35,53.85,-1.55
2-January-2023,4079.00,4114.75,4054.80,4074.00,4080.392726458068852214,13391,3035,54640539.00,5908,44.12,59.95,-5.00
30-December-2022,4160.00,4194.15,4026.55,4070.75,4142.782816099742512535,36895,10220,152847972.00,18877,51.16,167.60,-89.25
29-December-2022,4012.05,4205.00,3974.50,4178.35,4104.423342541436464088,11584,2319,47545640.00,4259,36.77,230.50,166.30
28-December-2022,4057.60,4070.00,4008.05,4016.85,4031.596771056214744213,5141,1034,20726439.00,1927,37.48,61.95,-40.75
27-December-2022,4079.95,4091.50,4003.80,4072.30,4053.339746300211416490,4730,1061,19172297.00,2194,46.38,87.70,-7.65
26-December-2022,3875.15,4048.95,3867.05,4035.15,3970.330910760050491527,26143,6341,103796361.00,14641,56.00,181.90,160.00
23-December-2022,3900.00,3911.95,3836.30,3876.90,3865.942865571835972071,10169,2580,39312773.00,4303,42.31,75.65,-23.10
22-December-2022,3996.00,4026.60,3904.00,3919.75,3932.613293343653250773,10336,2122,40647491.00,3917,37.90,122.60,-76.25
21-December-2022,4096.00,4107.70,3975.00,3992.65,4028.660172064777327935,7904,1808,31842530.00,3131,39.61,132.70,-103.35
20-December-2022,4090.00,4136.50,4051.05,4087.25,4100.583215464403583215,6363,1285,26092011.00,2119,33.30,85.45,-2.75
19-December-2022,4005.00,4100.00,4005.00,4089.70,4070.380164924813687877,22677,4951,92304011.00,10517,46.38,95.00,84.70
16-December-2022,4125.05,4148.20,3955.40,3992.35,4070.066133790084689313,31527,8406,128316975.00,16507,52.36,192.80,-132.70
15-December-2022,4200.10,4225.00,4150.00,4183.00,4197.674385464909155682,25263,5375,106045848.00,16601,65.71,75.00,-17.10
14-December-2022,4104.95,4209.00,4095.00,4201.10,4170.713200464742157476,11189,2007,46666110.00,6389,57.10,114.00,96.15
13-December-2022,4056.65,4119.85,4056.65,4107.80,4088.188050240638572602,8519,1347,34827274.00,3236,37.99,63.20,51.15
12-December-2022,3960.00,4073.50,3948.75,4056.65,4024.211148086522462562,24040,4423,96742036.00,12059,50.16,124.75,96.65
9-December-2022,4050.00,4056.45,3986.45,4002.65,4008.421171171171171171,5328,1167,21356868.00,2669,50.09,70.00,-47.35
8-December-2022,4083.15,4087.15,4015.00,4036.10,4042.375036267626066268,17233,3497,69662249.00,6538,37.94,72.15,-47.05
7-December-2022,4070.00,4098.00,4044.05,4087.45,4075.226888868924624921,22262,4482,90722701.00,13498,60.63,53.95,17.45
6-December-2022,4011.00,4090.05,3996.95,4064.25,4030.174842955429255160,6686,1407,26945749.00,2568,38.41,93.10,53.25
5-December-2022,4001.00,4047.50,3975.00,4027.55,4005.613134756863448770,5573,1287,22323282.00,2828,50.74,72.50,26.55
2-December-2022,4041.00,4052.25,3994.10,4003.50,4015.445142223864056150,8121,1362,32609430.00,4868,59.94,58.15,-37.50
1-December-2022,4035.55,4064.00,4030.10,4041.15,4046.832037325038880248,6430,1255,26021130.00,3121,48.54,33.90,5.60
30-November-2022,3965.00,4041.10,3958.35,4024.85,3991.295414048579199099,10663,1571,42559183.00,4550,42.67,82.75,59.85
29-November-2022,3900.00,3975.95,3900.00,3961.30,3939.157142857142857142,9940,1368,39155222.00,3377,33.97,75.95,61.30
28-November-2022,3905.05,3935.00,3891.00,3905.95,3918.113303578419857489,25542,4964,100076450.00,10662,41.74,44.00,0.90
25-November-2022,3979.95,3979.95,3901.50,3905.05,3912.322682085615743558,29574,7128,115703031.00,15337,51.86,78.45,-74.90
24-November-2022,3950.05,3995.00,3950.05,3971.80,3969.706262201531761525,6659,1284,26434274.00,2207,33.14,44.95,21.75
23-November-2022,3980.00,3998.95,3935.00,3954.60,3961.413446173877019589,16897,4022,66936003.00,6283,37.18,63.95,-25.40
22-November-2022,3874.05,4022.65,3874.05,3955.65,3960.262096579670992329,20729,2853,82092273.00,4461,21.52,148.60,81.60
21-November-2022,3916.00,3936.65,3872.00,3882.00,3889.936014140521431727,22630,5957,88029252.00,11938,52.75,64.65,-34.00
18-November-2022,3951.15,4018.95,3895.00,3912.05,3936.430906346991656937,35119,9368,138243517.00,16101,45.85,123.95,-39.10
17-November-2022,4010.60,4010.60,3942.00,3949.60,3969.622911051212938005,7420,2131,29454602.00,4687,63.17,68.60,-61.00
16-November-2022,4055.00,4056.80,4003.50,4010.65,4016.054454203262233375,23910,6684,96023862.00,13142,54.96,53.30,-44.35
15-November-2022,4090.00,4108.25,4045.00,4054.50,4084.252025862068965517,23200,1713,94754647.00,4732,20.40,63.25,-35.50
14-November-2022,4131.10,4141.35,4083.10,4097.05,4102.101107109510470855,7497,1781,30753452.00,3638,48.53,58.25,-34.05
11-November-2022,4170.00,4170.00,4120.00,4125.40,4135.575908886894075403,17824,4623,73712505.00,10116,56.75,50.00,-44.60
10-November-2022,4165.00,4172.40,4104.90,4139.85,4133.229627415819884439,10038,1929,41489359.00,5337,53.17,67.50,-25.15
9-November-2022,4185.05,4190.00,4116.85,4156.55,4151.351385866994607889,21142,4857,87767871.00,10115,47.84,73.15,-28.50
7-November-2022,4175.65,4215.00,4140.00,4173.70,4167.423333002086852827,20126,4596,83873562.00,7616,37.84,75.00,-1.95
4-November-2022,4199.00,4212.90,4150.00,4168.95,4165.310807628914527902,16988,4170,70760300.00,9090,53.51,62.90,-30.05
3-November-2022,4190.90,4227.55,4166.45,4194.35,4191.753102267864783910,4674,866,19592254.00,1747,37.38,61.10,3.45
2-November-2022,4256.05,4270.35,4177.55,4190.90,4208.241500881390078065,7942,1824,33421854.00,4177,52.59,92.80,-65.15
1-November-2022,4317.55,4348.00,4238.65,4247.35,4282.650856846113899948,17331,4202,74222622.00,8439,48.69,109.35,-70.20
31-October-2022,4304.25,4345.50,4292.20,4322.20,4317.825853404955813550,5771,1176,24918173.00,2468,42.77,53.30,17.95
28-October-2022,4270.05,4319.95,4252.05,4302.20,4279.420242853910551323,13259,2943,56740833.00,9595,72.37,67.90,32.15
27-October-2022,4236.45,4297.00,4220.00,4274.30,4252.495076801890508074,5078,953,21594170.00,2028,39.94,77.00,37.85
25-October-2022,4230.00,4249.25,4166.85,4227.15,4218.069870815391026531,7199,973,30365885.00,3813,52.97,82.40,-2.85
24-October-2022,4258.00,4275.55,4209.00,4229.55,4245.526269702276707530,10278,3488,43635519.00,6508,63.32,66.55,-28.45
21-October-2022,4240.00,4250.05,4189.70,4219.55,4214.673831591402090317,5071,1044,21372611.00,2339,46.12,60.35,-20.45
20-October-2022,4166.30,4234.80,4144.70,4225.80,4214.895894788593903638,8136,1412,34292393.00,3252,39.97,90.10,59.50
19-October-2022,4161.00,4194.00,4141.05,4166.80,4175.560223092440963569,16854,2080,70374892.00,10805,64.11,52.95,5.80
18-October-2022,4197.00,4197.00,4111.10,4138.30,4148.291939473301324021,13746,2333,57022421.00,5262,38.28,85.90,-58.70
17-October-2022,4295.00,4300.25,4141.00,4153.15,4228.098417482480872927,534844,6420,2261373070.00,504000,94.23,159.25,-141.85
14-October-2022,4375.05,4399.00,4290.10,4303.25,4331.842305407011289364,8415,1776,36452453.00,4498,53.45,108.90,-71.80
13-October-2022,4360.50,4364.30,4300.00,4307.40,4320.778156028368794326,7050,1247,30461486.00,2839,40.27,64.30,-53.10
12-October-2022,4375.05,4430.15,4329.00,4351.70,4381.652420856610800744,10740,2050,47058947.00,5250,48.88,101.15,-23.35
11-October-2022,4485.30,4485.30,4357.00,4380.75,4467.348408569917122200,226840,4033,1013373313.00,217833,96.03,128.30,-104.55
10-October-2022,4431.00,4510.35,4406.15,4472.70,4466.164967320261437908,11475,1771,51249243.00,3644,31.76,104.20,41.70
7-October-2022,4422.05,4479.80,4412.90,4469.05,4445.447658580879491503,23127,4287,102809868.00,12917,55.85,66.90,47.00
6-October-2022,4512.00,4544.15,4400.55,4416.00,4463.253190154103618994,14341,2924,64007514.00,6079,42.39,143.60,-96.00
4-October-2022,4601.90,4601.90,4460.75,4476.50,4517.327210721550795740,33428,5265,151005214.00,14961,44.76,141.15,-125.40
3-October-2022,4335.10,4465.00,4335.10,4425.65,4435.743523103438842229,36553,6505,162139733.00,17614,48.19,129.90,90.55
30-September-2022,4275.00,4402.15,4252.00,4391.75,4335.224885310364198108,32043,5734,138913611.00,19609,61.20,150.15,116.75
29-September-2022,4350.00,4414.90,4222.00,4250.95,4325.449844190532719988,13478,2466,58298413.00,5119,37.98,192.90,-99.05
28-September-2022,4250.00,4366.35,4226.40,4315.85,4331.310110834652793485,22105,4622,95743610.00,11217,50.74,139.95,65.85
27-September-2022,4334.65,4412.75,4275.00,4283.20,4323.432546884452510586,11571,2090,50026438.00,4988,43.11,137.75,-51.45
26-September-2022,4321.00,4447.00,4220.90,4373.20,4337.709949113879628004,45592,10538,197764872.00,28693,62.93,226.10,52.20
23-September-2022,4421.00,4474.35,4350.00,4368.60,4417.567689442211547887,10201,2149,45063608.00,2387,23.40,124.35,-52.40
22-September-2022,4276.00,4448.05,4262.00,4430.00,4369.630465230722640723,26417,7323,115432528.00,12748,48.26,186.05,154.00
21-September-2022,4350.00,4391.00,4291.00,4307.20,4320.805073353205915015,17109,4130,73924654.00,7308,42.71,100.00,-42.80
20-September-2022,4390.00,4412.70,4328.90,4350.10,4378.825889854783670012,40147,3634,175796723.00,31221,77.77,83.80,-39.90
19-September-2022,4325.00,4414.35,4276.55,4349.50,4329.129101887878502759,180679,1864,782182717.00,173990,96.30,137.80,24.50
16-September-2022,4496.30,4550.00,4287.00,4320.50,4405.251976018090160363,48203,9724,212346361.00,28678,59.49,263.00,-175.80
15-September-2022,4486.00,4540.00,4475.00,4526.60,4517.346396705559368565,29140,6828,131635474.00,18711,64.21,65.00,40.60
14-September-2022,4440.00,4520.00,4426.15,4480.80,4473.842822966507177033,8360,2000,37401326.00,3678,44.00,93.85,40.80
13-September-2022,4450.00,4509.90,4450.00,4489.65,4477.519250780437044745,26908,5749,120481088.00,15190,56.45,59.90,39.65
12-September-2022,4425.00,4475.15,4405.95,4445.30,4436.756174501808109563,12997,2371,57664520.00,5601,43.09,69.20,20.30
9-September-2022,4430.00,4449.80,4369.90,4382.95,4402.408616259362528019,18291,2634,80524456.00,9125,49.89,79.90,-47.05
8-September-2022,4484.00,4491.70,4391.00,4405.95,4438.636607959743824336,17488,4236,77622877.00,9327,53.33,100.70,-78.05
7-September-2022,4540.00,4546.80,4405.00,4432.90,4480.006928406466512702,11258,2459,50435918.00,5633,50.04,141.80,-107.10
6-September-2022,4585.00,4605.05,4532.55,4555.45,4569.094348814550178629,6158,1416,28136483.00,2411,39.15,72.50,-29.55
5-September-2022,4575.10,4605.25,4550.00,4575.00,4578.764311270125223613,8944,1555,40952468.00,3897,43.57,55.25,-0.10
2-September-2022,4560.05,4606.00,4512.60,4576.15,4563.246387309405671652,27611,6256,125995796.00,17588,63.70,93.40,16.10
1-September-2022,4475.05,4599.00,4462.35,4569.20,4544.532553775083008517,20781,3337,94439931.00,4915,23.65,136.65,94.15
